cf,timestamp
-0.02,20140401102100
0.14,20140401102230
0.14,20140401102330
0.14,20140401102430
0.36,20140401102730
0.52,20140401102930
0.64,20140401103030
0.84,20140401104300
0.84,20140401104800
0.9,20140401105330
0.9,20140401105430
0.94,20140401105830
0.96,20140401105900
0.94,20140401110930
0.94,20140401111700
0.94,20140401111830
0.96,20140401112600
0.96,20140401112730
0.98,20140401113000
0.96,20140401113100
0.98,20140401113530
0.98,20140401113630
0.98,20140401113800
0.96,20140401114630
0.98,20140401115630
0.98,20140401121500
1.0,20140401122230
0.98,20140401123000
1.0,20140401123700
1.0,20140401123800
0.98,20140401130000
1.0,20140401132430
1.0,20140401132600
0.98,20140401132700
0.98,20140401132900
0.98,20140401133030
1.0,20140401133130
0.98,20140401133830
1.0,20140401134030
0.98,20140401134830
0.98,20140401135100
0.98,20140401140000
0.98,20140401140200
0.98,20140401140330
1.0,20140401141130
1.0,20140401142300
1.0,20140401143100
1.0,20140401143730
1.0,20140401143800
1.0,20140401144200
1.0,20140401144430
1.0,20140401144900
1.0,20140401150100
1.0,20140401150430
1.0,20140401150530
1.0,20140401150900
1.0,20140401151300
1.0,20140401151330
1.0,20140401151730
0.98,20140401152300
0.98,20140401152600
0.98,20140401152930
1.0,20140401153530
0.98,20140401154400
0.98,20140401154700
0.98,20140401155700
0.98,20140401155830
0.96,20140401160630
0.96,20140401162230
0.96,20140401162330
0.96,20140401162400
0.96,20140401162930
0.98,20140401163300
0.96,20140401163800
0.98,20140401163900
0.96,20140401164230
0.96,20140401164930
0.96,20140401165730
0.96,20140401170800
0.96,20140401171200
0.96,20140401172030
0.96,20140401172500
0.96,20140401172700
0.96,20140401172800
0.96,20140401173230
0.96,20140401173500
0.96,20140401173800
0.98,20140401173900
0.98,20140401174600
0.96,20140401174930
0.96,20140401175900
0.96,20140401180200
0.96,20140401181530
0.96,20140401184330
0.96,20140401184930
0.96,20140401185000
0.98,20140401185330
0.96,20140401185630
0.98,20140401190330
0.96,20140401190630
0.96,20140401191000
0.98,20140401191600
0.98,20140401193530
0.98,20140401193930
0.98,20140401194000
0.98,20140401194030
0.98,20140401194100
0.98,20140401194230
0.98,20140401194530
0.98,20140401195000
0.98,20140401195330
0.98,20140401195830
0.98,20140401200300
0.98,20140401200830
0.96,20140401200930
0.96,20140401201630
0.96,20140401202530
0.96,20140401202630
0.96,20140401203130
0.96,20140401203730
0.96,20140401204530
0.96,20140401204830
0.96,20140401205030
0.96,20140401205200
0.94,20140401210830
0.94,20140401211600
0.88,20140401212900
0.82,20140401213200
0.72,20140401213600
0.62,20140401214100
0.6,20140401214130
0.04,20140401215200
-0.04,20140401215300
0.12,20140402102000
0.22,20140402102130
0.54,20140402102530
0.96,20140402103300
0.96,20140402103400
0.92,20140402103800
0.88,20140402104430
0.9,20140402104930
0.94,20140402105400
0.96,20140402105630
0.96,20140402105730
0.96,20140402110030
0.98,20140402110730
0.98,20140402112030
0.98,20140402113030
0.98,20140402113100
1.0,20140402113400
1.0,20140402113830
1.0,20140402114430
0.98,20140402114500
1.0,20140402114600
0.98,20140402115130
1.0,20140402115300
1.0,20140402115330
1.0,20140402115730
0.98,20140402115930
0.9,20140402121800
0.92,20140402121830
0.9,20140402121930
0.82,20140402122500
0.86,20140402122730
0.9,20140402122830
0.3,20140402125200
0.34,20140402125430
0.4,20140402125830
0.5,20140402125930
0.82,20140402130530
0.78,20140402131100
0.74,20140402131300
1.0,20140402133830
1.0,20140402134130
1.0,20140402134630
1.0,20140402135430
1.0,20140402135830
1.0,20140402140000
1.0,20140402140100
1.0,20140402140230
1.0,20140402140400
1.0,20140402140830
1.0,20140402141700
1.0,20140402142200
1.0,20140402142330
1.0,20140402142900
0.96,20140402144100
0.96,20140402144330
0.98,20140402144530
1.0,20140402144600
0.98,20140402145630
0.98,20140402145930
0.98,20140402150030
1.0,20140402150300
1.0,20140402151130
1.0,20140402151200
